"Date","Price","Open","High","Low","Vol.","Change %"
"06/18/2024","17,862.23","17,856.76","17,890.52","17,796.88","1.11B","0.03%"
"06/17/2024","17,857.02","17,697.30","17,935.98","17,636.36","1.04B","0.95%"
"06/14/2024","17,688.88","17,621.18","17,693.43","17,590.80","965.43M","0.12%"
"06/13/2024","17,667.56","17,715.27","17,741.80","17,566.32","981.98M","0.34%"
"06/12/2024","17,608.44","17,502.15","17,725.39","17,490.64","1.13B","1.53%"
"06/11/2024","17,343.55","17,160.42","17,345.05","17,107.99","941.87M","0.88%"
"06/10/2024","17,192.53","17,083.45","17,213.45","17,057.34","1.01B","0.35%"
"06/07/2024","17,133.13","17,124.13","17,229.31","17,090.04","897.39M","-0.23%"
"06/06/2024","17,173.12","17,204.87","17,235.73","17,123.59","940.92M","-0.09%"
"06/05/2024","17,187.90","16,974.48","17,187.92","16,955.56","1.01B","1.96%"
"06/04/2024","16,857.05","16,823.88","16,891.87","16,750.39","975.74M","0.17%"
"06/03/2024","16,828.67","16,865.70","16,909.89","16,646.43","1.06B","0.56%"
"05/31/2024","16,735.02","16,771.90","16,789.27","16,445.54","1.81B","-0.01%"
"05/30/2024","16,737.08","16,878.63","16,900.46","16,690.36","1.11B","-1.08%"
"05/29/2024","16,920.58","16,879.35","16,989.60","16,873.97","1.15B","-0.58%"
"05/28/2024","17,019.88","16,988.31","17,032.65","16,917.51","1.10B","0.59%"
"05/24/2024","16,920.79","16,786.79","16,947.79","16,771.58","953.61M","1.10%"
"05/23/2024","16,736.03","16,996.38","16,996.38","16,678.37","1.21B","-0.39%"
"05/22/2024","16,801.54","16,839.02","16,855.27","16,712.09","1.15B","-0.18%"
"05/21/2024","16,832.62","16,736.10","16,839.02","16,719.97","1.02B","0.22%"
"05/20/2024","16,794.87","16,702.02","16,823.83","16,695.69","1.12B","0.65%"
"05/17/2024","16,685.97","16,708.49","16,726.41","16,613.84","1.43B","-0.07%"
"05/16/2024","16,698.32","16,738.11","16,797.83","16,693.45","1.47B","-0.26%"
"05/15/2024","16,742.39","16,601.14","16,749.74","16,544.09","1.32B","1.40%"
"05/14/2024","16,511.18","16,391.16","16,526.27","16,386.44","1.24B","0.75%"
"05/13/2024","16,388.24","16,400.31","16,407.05","16,334.86","953.22M","0.29%"
"05/10/2024","16,340.87","16,389.02","16,437.39","16,293.52","940.76M","-0.03%"
"05/09/2024","16,346.26","16,323.74","16,362.79","16,241.98","945.46M","0.27%"
"05/08/2024","16,302.76","16,226.07","16,341.65","16,226.07","976.92M","-0.18%"
"05/07/2024","16,332.55","16,358.34","16,397.39","16,303.84","1.02B","-0.10%"
"05/06/2024","16,349.25","16,208.54","16,350.08","16,197.86","919.31M","1.19%"
"05/03/2024","16,156.33","16,147.48","16,204.71","16,068.34","1.03B","1.99%"
"05/02/2024","15,840.96","15,758.11","15,862.79","15,604.73","1.05B","1.51%"
"05/01/2024","15,605.48","15,646.09","15,926.22","15,557.64","1.12B","-0.33%"
"04/30/2024","15,657.82","15,920.89","15,979.36","15,655.67","1.15B","-2.04%"
