"Date","Price","Open","High","Low","Vol.","Change %"
"06/18/2024","4.910","4.560","4.990","4.550","19.64M","13.13%"
"06/17/2024","4.340","4.350","4.375","4.195","7.20M","-1.14%"
"06/14/2024","4.390","4.500","4.525","4.330","4.80M","-3.52%"
"06/13/2024","4.550","4.695","4.705","4.510","4.70M","-1.94%"
"06/12/2024","4.640","4.710","4.940","4.620","7.82M","1.53%"
"06/11/2024","4.570","4.550","4.600","4.410","6.53M","0.22%"
"06/10/2024","4.560","4.380","4.620","4.335","7.10M","2.70%"
"06/07/2024","4.440","4.310","4.440","4.280","4.05M","1.60%"
"06/06/2024","4.370","4.380","4.440","4.320","3.25M","-1.58%"
"06/05/2024","4.440","4.330","4.440","4.260","4.80M","3.74%"
"06/04/2024","4.280","4.280","4.310","4.230","4.19M","-1.15%"
"06/03/2024","4.330","4.400","4.450","4.260","4.73M","-0.92%"
"05/31/2024","4.370","4.320","4.415","4.220","6.45M","0.92%"
"05/30/2024","4.330","4.280","4.380","4.172","5.06M","3.59%"
"05/29/2024","4.180","4.310","4.320","4.150","6.19M","-4.78%"
"05/28/2024","4.390","4.250","4.470","4.240","7.65M","4.28%"
"05/24/2024","4.210","4.250","4.268","4.180","5.15M","-0.24%"
"05/23/2024","4.220","4.360","4.380","4.180","5.01M","-2.76%"
"05/22/2024","4.340","4.470","4.490","4.280","4.59M","-2.69%"
"05/21/2024","4.460","4.380","4.530","4.350","5.94M","1.36%"
"05/20/2024","4.400","4.290","4.435","4.235","5.46M","3.53%"
"05/17/2024","4.250","4.240","4.300","4.180","4.91M","0.24%"
"05/16/2024","4.240","4.340","4.445","4.220","5.50M","-2.30%"
"05/15/2024","4.340","4.600","4.640","4.315","11.81M","-4.82%"
"05/14/2024","4.560","4.240","4.580","4.240","20.58M","9.62%"
"05/13/2024","4.160","4.160","4.460","4.150","10.48M","1.22%"
"05/10/2024","4.110","4.100","4.200","3.975","9.94M","-3.52%"
"05/09/2024","4.260","4.128","4.300","4.110","7.79M","3.90%"
"05/08/2024","4.100","3.880","4.120","3.820","9.53M","3.27%"
"05/07/2024","3.970","3.900","3.990","3.655","17.28M","-2.22%"
"05/06/2024","4.060","4.060","4.120","4.025","8.23M","1.50%"
"05/03/2024","4.000","4.000","4.080","3.960","5.42M","1.27%"
"05/02/2024","3.950","3.900","3.955","3.810","6.28M","2.60%"
"05/01/2024","3.850","3.760","3.980","3.720","9.61M","2.39%"
"04/30/2024","3.760","3.820","3.835","3.710","7.58M","-1.05%"
"04/29/2024","3.800","3.810","3.830","3.730","3.87M","0.80%"
"04/26/2024","3.770","3.670","3.775","3.650","5.02M","3.29%"
"04/25/2024","3.650","3.660","3.685","3.560","5.24M","-1.08%"
"04/24/2024","3.690","3.730","3.780","3.620","6.10M","0.27%"
"04/23/2024","3.680","3.580","3.780","3.575","5.61M","2.51%"
"04/22/2024","3.590","3.580","3.610","3.490","5.64M","1.13%"
"04/19/2024","3.550","3.530","3.620","3.510","5.73M","0.00%"
"04/18/2024","3.550","3.580","3.640","3.480","5.01M","-0.56%"
"04/17/2024","3.570","3.580","3.660","3.540","4.28M","0.28%"
"04/16/2024","3.560","3.510","3.650","3.470","7.23M","0.85%"
"04/15/2024","3.530","3.760","3.785","3.510","15.97M","-5.36%"
"04/12/2024","3.730","3.850","3.870","3.700","8.80M","-3.37%"
"04/11/2024","3.860","3.830","3.955","3.780","7.52M","3.21%"
"04/10/2024","3.740","3.740","3.780","3.660","7.77M","-2.60%"
"04/09/2024","3.840","3.840","3.920","3.780","5.24M","1.86%"
"04/08/2024","3.770","3.810","3.840","3.730","6.37M","-0.79%"
"04/05/2024","3.800","3.910","3.920","3.780","9.37M","-2.56%"
"04/04/2024","3.900","3.930","4.040","3.860","6.60M","0.52%"
"04/03/2024","3.880","3.900","3.950","3.800","7.97M","0.26%"
"04/02/2024","3.870","4.030","4.030","3.833","12.25M","-5.15%"
"04/01/2024","4.080","4.130","4.140","4.030","5.84M","-0.73%"
"03/28/2024","4.110","4.130","4.230","4.090","6.25M","-0.72%"
"03/27/2024","4.140","4.100","4.150","4.050","4.88M","1.97%"
"03/26/2024","4.060","4.100","4.185","4.050","8.58M","-0.49%"
"03/25/2024","4.080","4.070","4.200","4.060","4.50M","0.74%"
"03/22/2024","4.050","4.060","4.120","4.000","8.72M","-0.98%"
"03/21/2024","4.090","4.110","4.280","4.050","8.97M","1.49%"
"03/20/2024","4.030","4.010","4.100","3.950","10.24M","-0.74%"
"03/19/2024","4.060","4.000","4.100","3.980","6.53M","1.50%"
"03/18/2024","4.000","4.160","4.160","3.970","12.88M","-2.91%"
"03/15/2024","4.120","4.140","4.270","4.110","14.50M","-1.20%"
"03/14/2024","4.170","4.280","4.298","4.110","7.49M","-2.80%"
"03/13/2024","4.290","4.340","4.450","4.285","7.22M","-1.15%"
"03/12/2024","4.340","4.340","4.375","4.230","8.48M","-3.12%"
"03/11/2024","4.480","4.440","4.725","4.440","7.31M","1.36%"
"03/08/2024","4.420","4.470","4.530","4.340","4.89M","-0.23%"
"03/07/2024","4.430","4.340","4.440","4.290","4.79M","3.02%"
"03/06/2024","4.300","4.300","4.470","4.260","5.28M","1.42%"
"03/05/2024","4.240","4.390","4.390","4.170","8.80M","-4.29%"
"03/04/2024","4.430","4.620","4.700","4.390","6.29M","-2.42%"
"03/01/2024","4.540","4.630","4.670","4.500","5.12M","-0.98%"
"02/29/2024","4.585","4.690","4.810","4.490","11.04M","-0.11%"
"02/28/2024","4.590","4.420","4.770","4.110","11.86M","-2.55%"
"02/27/2024","4.710","4.600","4.795","4.570","11.00M","3.06%"
"02/26/2024","4.570","4.390","4.600","4.350","7.25M","4.34%"
"02/23/2024","4.380","4.460","4.530","4.360","6.56M","-1.35%"
"02/22/2024","4.440","4.710","4.750","4.430","8.94M","-4.31%"
"02/21/2024","4.640","4.790","4.805","4.620","5.46M","-3.93%"
"02/20/2024","4.830","4.920","5.100","4.790","7.48M","-1.23%"
"02/16/2024","4.890","4.900","5.080","4.840","7.30M","0.00%"
"02/15/2024","4.890","4.875","5.035","4.800","8.78M","1.87%"
"02/14/2024","4.800","4.570","4.820","4.390","10.11M","8.11%"
"02/13/2024","4.440","4.580","4.650","4.380","8.76M","-5.93%"
"02/12/2024","4.720","4.435","4.790","4.435","15.40M","8.76%"
"02/09/2024","4.340","4.390","4.420","4.240","6.98M","0.93%"
"02/08/2024","4.300","4.280","4.359","4.230","6.02M","0.70%"
"02/07/2024","4.270","4.290","4.470","4.190","8.08M","0.23%"
"02/06/2024","4.260","4.040","4.260","4.030","10.82M","4.67%"
"02/05/2024","4.070","3.980","4.110","3.950","11.19M","2.39%"
"02/02/2024","3.975","4.010","4.020","3.920","47.87M","-1.12%"
"02/01/2024","4.020","4.190","4.290","3.890","61.54M","-17.11%"
"01/31/2024","4.850","4.975","5.160","4.850","5.80M","-2.61%"
"01/30/2024","4.980","5.080","5.110","4.920","3.27M","-3.11%"
"01/29/2024","5.140","4.880","5.140","4.880","3.04M","5.33%"
"01/26/2024","4.880","4.940","5.020","4.850","2.51M","-0.81%"
"01/25/2024","4.920","5.110","5.110","4.830","4.03M","-2.19%"
"01/24/2024","5.030","5.170","5.245","4.970","3.42M","-0.98%"
"01/23/2024","5.080","5.100","5.220","5.035","3.48M","0.59%"
"01/22/2024","5.050","4.900","5.070","4.850","5.27M","3.91%"
"01/19/2024","4.860","4.900","4.900","4.690","4.34M","0.21%"
"01/18/2024","4.850","5.000","5.050","4.770","4.91M","-1.42%"
"01/17/2024","4.920","4.900","5.015","4.856","4.85M","-0.40%"
"01/16/2024","4.940","5.110","5.160","4.880","6.32M","-4.45%"
"01/12/2024","5.170","5.190","5.350","5.110","4.36M","0.19%"
"01/11/2024","5.160","5.300","5.320","5.060","6.27M","-3.37%"
"01/10/2024","5.340","5.450","5.478","5.270","6.00M","-2.02%"
"01/09/2024","5.450","5.660","5.670","5.400","6.82M","-1.80%"
"01/08/2024","5.550","5.420","5.650","5.320","6.53M","2.78%"
"01/05/2024","5.400","5.450","5.615","5.360","5.86M","-1.28%"
"01/04/2024","5.470","5.120","5.550","5.100","7.90M","7.25%"
"01/03/2024","5.100","5.170","5.210","5.050","6.56M","-3.95%"
"01/02/2024","5.310","5.450","5.570","5.270","6.73M","-3.98%"
"12/29/2023","5.530","5.780","5.780","5.440","9.21M","-4.49%"
"12/28/2023","5.790","5.710","6.140","5.650","11.19M","0.87%"
"12/27/2023","5.740","5.650","5.810","5.555","8.66M","1.77%"
"12/26/2023","5.640","5.635","5.830","5.382","18.72M","3.68%"
"12/22/2023","5.440","5.090","5.760","4.940","51.90M","22.80%"
"12/21/2023","4.430","4.490","4.540","4.340","8.65M","0.45%"
"12/20/2023","4.410","4.680","4.750","4.390","5.02M","-5.97%"
"12/19/2023","4.690","4.540","4.690","4.529","5.08M","4.45%"
"12/18/2023","4.490","4.680","4.690","4.440","6.47M","-2.60%"
