date,success,mission_name
2017-05-25,False,It's a Test
2018-01-21,True,Still Testing
2018-11-11,True,"It's Business Time"" [ 19 ]"
2018-12-16,True,"This One's For Pickering "" [ 28 ]"
2019-03-28,True,"Two Thumbs Up"" [ 31 ]"
2019-05-05,True,"That's a Funny Looking Cactus"" [ 36 ]"
2019-06-29,True,Make it Rain
2019-08-19,True,"Look Ma, No Hands"
2019-10-17,True,As the Crow Flies
2019-12-06,True,Running Out Of Fingers
2020-01-31,True,Birds of a Feather
2020-06-13,True,Don't Stop Me Now
2020-07-04,False,"Pics Or It Didn't Happen"" [ 2 ]"
2020-08-31,True,I Can't Believe It's Not Optical
2020-10-28,True,"In Focus"" [ 78 ]"
2020-11-20,True,"Return To Sender"" [ 81 ]"
2020-12-15,True,"The Owl's Night Begins"" [ 83 ]"
2021-01-20,True,Another One Leaves The Crust
2021-03-22,True,They Go Up So Fast
2021-05-15,False,Running Out Of Toes
2021-07-29,True,It's A Little Chile Up Here
2021-11-18,True,Love At First Insight
2021-12-09,True,A Data With Destiny
2022-02-28,True,The Owl's Night Continues
2022-04-02,True,Without Mission A Beat
2022-05-02,True,There And Back Again
2022-06-28,True,CAPSTONE
2022-07-13,True,"Wise One Looks Ahead""."
2022-08-04,True,Antipodean Adventure
2022-09-15,True,The Owl Spreads Its Wings
2022-10-07,True,It Argos Up From Here
2022-11-04,True,Catch Me If You Can
2023-01-24,True, Virginia Is For Launch Lovers 
2023-03-16,True,Stronger Together
2023-03-24,True,The Beat Goes On
2023-05-08,True,Rocket Like A Hurricane
2023-05-26,True,Coming to a Storm Near You
2023-06-18,True,Scout's Arrow
2023-07-18,True,Baby Come Back
2023-08-23,True,We Love The Nightlife
2023-09-19,False,We Will Never Desert You
2023-12-15,True,The Moon God Awakens
2024-01-31,True,Four Of A Kind
2024-02-18,True,On Closer Inspection
2024-03-12,True,Owl Night Long
2024-03-21,True,Live and Let Fly
2024-04-23,True,Beginning Of The Swarm
2024-05-25,True,"Ready, Aim, PREFIRE"
2024-06-05,True,PREFIRE And Ice
2024-06-20,True,No Time Toulouse
2024-08-02,True,"Owl For One, One For Owl"
2024-08-11,True,A Sky Full Of SARs
2024-09-20,True,Kinéis Killed The RadIoT Star
2024-11-05,True,"Changes In Latitudes, Changes In Attitudes"
2024-11-24,True,HASTE A La Vista
2024-11-25,True,Ice AIS Baby
2024-12-14,True,Stonehenge
2024-12-21,True,Owl The Way Up
2025-02-08,True,IoT 4 You and Me
2025-02-18,True,Fasten Your Space Belts
2025-03-15,True,The Lightning God Reigns
2025-03-18,True,High Five
2025-03-26,True,Finding Hot Wildfires Near You
2025-05-17,True,The Sea God Sees
2025-06-02,True,Full Stream Ahead
2025-06-11,True,The Mountain God Guards
2025-06-26,True,Get The Hawk Outta Here
2025-06-28,True,Symphony In The Stars
2025-08-05,True,The Harvest Goddess Thrives
2025-08-23,True,"Live, Laugh, Launch"
2025-09-23,True,Jenna
2025-10-01,True,Justin
2025-10-14,True,Owl New World
2025-11-05,True,The Nation God Navigates
2025-11-18,True,Prometheus Run
2025-11-20,True,Follow My Speed
2025-12-14,True,RAISE And Shine
2025-12-18,True,Don't Be Such A Square
2025-12-21,True,The Wisdom God Guides
2026-01-22,True,The Cosmos Will See You Now
2026-01-30,True,Bridging The Swarm
2026-02-28,True,That's Not A Knife
2026-03-05,True,Insight At Speed Is A Friend Indeed
2026-03-20,True,Eight Days A Week
2026-03-28,True,Daughter Of The Stars
2026-04-22,True,Bubbles
2026-04-23,True,Kakushin Rising
2026-05-22,True,Viva La StriX
