FlightNo.,Name,Date/time(UTC),Launch site,Payload,Payload Mass,Destination,Customer(s),Launch outcome,Booster recovery
Flight No.,Name,Date/time(UTC),Launch site,Payload,Payload mass,Destination,Customer(s),Launch outcome,Booster recovery
1,"""It's a Test""","25 May 2017, 04:20[3]","Mahia, LC-1A",None,None,"500 km, 85°LEO",Rocket Lab(flight test),Failure,No attempt
"The rocket successfully launched and performed first stage separation and fairing separation. After reaching an altitude of about 224 kilometres (139 mi) (planned 500 kilometres (310 mi) at 85°inclination),[9]the telemetry feed to the range safety officer was lost and the rocket was destroyed byrange safety officer.[4][5]Post-flight analysis determined the issue to be a simple ground software failure rather than a problem with the rocket.[4]The ground software issue was found to be a contractor's failure to enableforward error correctionon their hardware leading to data corruption.[4][5]Rocket Lab made no changes to the Electron vehicle and instead implemented adjustment to procedures to prevent similar problems.[4]",,,,,,,,,
2,"""Still Testing""","21 January 2018, 01:43[6]","Mahia, LC-1A",Dove PioneerLemur-2× 2Humanity Star[10],13 kg (29 lb)[11],"400 km, 82.9°LEO",Planet LabsSpire Global,Success,No attempt
"CarryingCubeSatsforPlanet LabsandSpire Global.[12]The twoLemur-2 satelliteswere put into a circularized orbit by the new ""Electron kick stage"" which was not announced until after the launch.[13]Between December 2017 and January 2018 the launch was delayed six times due to weather, orbital traffic, rocket, and range safety issues.[14][15][16][17]Put Lemur-2 payloads into 500 km (310 mi) high orbit at 85.0°inclinationwhile the Dove Pioneer satellite was put into a 289 km (180 mi) x 533 km (331 mi).[9][18]",,,,,,,,,
3,"""It's Business Time""[19]","11 November 2018, 03:50","Mahia, LC-1A[19][20]",Lemur-2× 2CICERO[21]IRVINE01[22]NABEO[22]Proxima× 2[23],Approx 45 kilograms (99 lb)[11],"500 km, 85°LEO",Spire GlobalGeoOpticsIrvine CubeSat STEM ProgramHigh Performance Space Structure SystemsFleet Space Technologies,Success,No attempt
"The 11 November 2018 launch was successful; all cubesats planned to be deployed were deployed in orbit. The launch, originally planned for April 2018, had been delayed several times: to June/July after unusual behavior was identified in a motor controller during a wet dress rehearsal,[19][22]by a few days after a ground tracking antenna issue in the Chatham Island tracking station[24]and indefinitely after another motor controller issue.[25][26]In October 2018, a nine-day launch window was announced starting 11 November 2018.[27]",,,,,,,,,
4,"""This One's ForPickering""[28]","16 December 2018, 06:33[7]","Mahia, LC-1A",ELaNa-19ALBusCeREsCHOMPTTCubeSailDaVinciISXNMTSatRSat-PShields-1STF-1SHFT2TOMSatEagleScoutTOMSat R3,78 kg (172 lb)[29],"500 km, 85°LEO",NASA[30],Success,No attempt
Multiple CubeSats for the NASA-sponsored ELaNa-19 mission.[30]They were deployed from RailPOD dispensers. Was the first NASA mission for Rocket Lab.[8],,,,,,,,,
Flight No.,Name,Date/time(UTC),Launch site,Payload,Payload Mass,Destination,Customer(s),Launch outcome,Booster recovery
5,"""Two Thumbs Up""[31]","28 March 2019, 23:27[31]","Mahia, LC-1A",R3D2[32],150 kg (330 lb)[33],"425 km, 39.5°LEO",DARPA,Success,No attempt
"Radio Frequency Risk Reduction Deployment Demonstration (R3D2) will qualify a new type of membrane reflectarray antenna.[34]Northrop Grummanserves as the prime contractor for R3D2. Blue Canyon Technologies provided the satellite bus, MMA Design provided the antenna.[35]",,,,,,,,,
6,"""That's a Funny Looking Cactus""[36]","5 May 2019, 06:00[37]","Mahia, LC-1A",STP-27RDSPARC-1Falcon ODEHarbinger,180 kilograms (400 lb)[37],"500 km, 40°LEO",U.S. Air Force,Success,No attempt
"Launch is part of the ""Rapid Agile Launch Initiative"" (RALI) for the U.S. Air Force.[38]Was first night launch of an Electron and its heaviest payload up to the time.[39]",,,,,,,,,
7,"""Make it Rain""","29 June 2019, 04:30[40]","Mahia, LC-1A",BlackSky Global 3Prometheusx 2ACRUX-1SpaceBEE8 and 9Painani 1[41][42][43],80 kilograms (180 lb)[44],"450 km, 45°LEO",BlackSky viaSpaceflight Inc.USSOCOMMelbourne Space ProgramSwarm TechnologiesSEDENA,Success,No attempt
BlackSky Global 3 is part of a constellation of Earth-observing satellites.[42][43]SpaceBEEcubesats are manufactured bySwarm Technologiesto test two-way satellite communication and data relay. SpaceBEE 8 weighs 0.4 kg (0.88 lb) while SpaceBEE 9 weighs 0.7 kg (1.54 lb).[45][46],,,,,,,,,
8,"""Look Ma, No Hands""","19 August 2019, 12:12[47]","Mahia, LC-1A",Breizh Recon Orbiter (BRO-1)BlackSky Global 4Experimental Satellites x 2[48],Approx. 80 kilograms (180 lb)[11],"510 km, 94.8°LEO",UnseenLabsBlackSky viaSpaceflight Inc.AFSPC,Success,No attempt
