FlightNo.,LaunchType,Name,Date/time(UTC),Launch site,Payload,Payload Mass,Destination,Customer(s),Launch outcome,Booster recovery
1,Orbital,"""It's a Test""","25 May 2017, 04:20[3]","Mahia, LC-1A",,,"500 km, 85°LEO",Rocket Lab(flight test),Failure,No attempt
2,Orbital,"""Still Testing""","21 January 2018, 01:43[6]","Mahia, LC-1A",Dove PioneerLemur-2× 2Humanity Star[10],13 kg (29 lb)[11],"400 km, 82.9°LEO",Planet LabsSpire Global,Success,No attempt
3,Orbital,"""It's Business Time""[19]","11 November 2018, 03:50","Mahia, LC-1A[19][20]",Lemur-2× 2CICERO[21]IRVINE01[22]NABEO[22]Proxima× 2[23],Approx 45 kilograms (99 lb)[11],"500 km, 85°LEO",Spire GlobalGeoOpticsIrvine CubeSat STEM ProgramHigh Performance Space Structure SystemsFleet Space Technologies,Success,No attempt
4,Orbital,"""This One's ForPickering""[28]","16 December 2018, 06:33[7]","Mahia, LC-1A",ELaNa-19ALBusCeREsCHOMPTTCubeSailDaVinciISXNMTSatRSat-PShields-1STF-1SHFT2TOMSatEagleScoutTOMSat R3,78 kg (172 lb)[29],"500 km, 85°LEO",NASA[30],Success,No attempt
5,Orbital,"""Two Thumbs Up""[31]","28 March 2019, 23:27[31]","Mahia, LC-1A",R3D2[32],150 kg (330 lb)[33],"425 km, 39.5°LEO",DARPA,Success,No attempt
6,Orbital,"""That's a Funny Looking Cactus""[36]","5 May 2019, 06:00[37]","Mahia, LC-1A",STP-27RDSPARC-1Falcon ODEHarbinger,180 kilograms (400 lb)[37],"500 km, 40°LEO",U.S. Air Force,Success,No attempt
7,Orbital,"""Make it Rain""","29 June 2019, 04:30[40]","Mahia, LC-1A",BlackSky Global 3Prometheusx 2ACRUX-1SpaceBEE8 and 9Painani 1[41][42][43],80 kilograms (180 lb)[44],"450 km, 45°LEO",BlackSky viaSpaceflight Inc.USSOCOMMelbourne Space ProgramSwarm TechnologiesSEDENA,Success,No attempt
8,Orbital,"""Look Ma, No Hands""","19 August 2019, 12:12[47]","Mahia, LC-1A",Breizh Recon Orbiter (BRO-1)BlackSky Global 4Experimental Satellites x 2[48],Approx. 80 kilograms (180 lb)[11],"510 km, 94.8°LEO",UnseenLabsBlackSky viaSpaceflight Inc.AFSPC,Success,No attempt
9,Orbital,"""As the Crow Flies""","17 October 2019, 01:22[50]","Mahia, LC-1A",Palisade[51],Approx. 20 kilograms (44 lb)[11],"1200 km, 87.9°LEO",Astro Digital[52],Success,No attempt
10,Orbital,"""Running Out Of Fingers""","6 December 2019, 08:18[54][55]","Mahia, LC-1A",ATL-1Fossasat-1NOOR-1A(Unicorn 2B)NOOR-1B(Unicorn 2C)SMOG-PTRSI SatALE-2[55],Approx. 77 kilograms (170 lb)[11],"385 x 400 km, 97°LEO","Advanced Technology of LaserFossa SystemsStara SpaceBudapest University of Technology and EconomicsACME AtronOmaticALE Co., LTD",Success,Controlled (atmosphere test)
